"trial","dataset","model","score"
"9","linear","NN + L2","0.875"
"9","linear","NN + Scale Invariant","0.85"
"10","moons","Random Forest","0.875"
"10","moons","Linear Discriminant Analysis","0.9"
"10","moons","NN","0.9"
"10","moons","NN + L2","0.9"
"10","moons","NN + Scale Invariant","0.875"
"10","circles","Random Forest","0.875"
"10","circles","Linear Discriminant Analysis","0.5"
"10","circles","NN","0.675"
"10","circles","NN + L2","0.625"
"10","circles","NN + Scale Invariant","0.775"
"10","linear","Random Forest","0.875"
"10","linear","Linear Discriminant Analysis","0.95"
"10","linear","NN","0.95"
"10","linear","NN + L2","0.95"
"10","linear","NN + Scale Invariant","0.95"
"11","moons","Random Forest","0.875"
"11","moons","Linear Discriminant Analysis","0.9"
"11","moons","NN","0.925"
"11","moons","NN + L2","0.9"
"11","moons","NN + Scale Invariant","0.9"
"11","circles","Random Forest","0.875"
"11","circles","Linear Discriminant Analysis","0.425"
"11","circles","NN","0.775"
"11","circles","NN + L2","0.725"
"11","circles","NN + Scale Invariant","0.75"
"11","linear","Random Forest","0.85"
"11","linear","Linear Discriminant Analysis","0.9"
"11","linear","NN","0.9"
"11","linear","NN + L2","0.875"
"11","linear","NN + Scale Invariant","0.9"
"12","moons","Random Forest","0.825"
"12","moons","Linear Discriminant Analysis","0.75"
"12","moons","NN","0.8"
"12","moons","NN + L2","0.75"
"12","moons","NN + Scale Invariant","0.775"
"12","circles","Random Forest","0.925"
"12","circles","Linear Discriminant Analysis","0.35"
"12","circles","NN","0.7"
"12","circles","NN + L2","0.525"
"12","circles","NN + Scale Invariant","0.625"
"12","linear","Random Forest","0.75"
"12","linear","Linear Discriminant Analysis","0.775"
"12","linear","NN","0.75"
"12","linear","NN + L2","0.725"
"12","linear","NN + Scale Invariant","0.825"
"13","moons","Random Forest","0.9"
"13","moons","Linear Discriminant Analysis","0.925"
"13","moons","NN","0.925"
"13","moons","NN + L2","0.9"
"13","moons","NN + Scale Invariant","0.875"
"13","circles","Random Forest","0.7"
"13","circles","Linear Discriminant Analysis","0.4"
"13","circles","NN","0.7"
"13","circles","NN + L2","0.45"
"13","circles","NN + Scale Invariant","0.45"
"13","linear","Random Forest","0.95"
"13","linear","Linear Discriminant Analysis","0.95"
"13","linear","NN","0.95"
"13","linear","NN + L2","0.925"
"13","linear","NN + Scale Invariant","0.925"
"14","moons","Random Forest","0.875"
"14","moons","Linear Discriminant Analysis","0.775"
"14","moons","NN","0.825"
"14","moons","NN + L2","0.75"
"14","moons","NN + Scale Invariant","0.8"
"14","circles","Random Forest","0.825"
"14","circles","Linear Discriminant Analysis","0.425"
"14","circles","NN","0.575"
"14","circles","NN + L2","0.5"
"14","circles","NN + Scale Invariant","0.55"
"14","linear","Random Forest","0.875"
"14","linear","Linear Discriminant Analysis","0.95"
"14","linear","NN","0.95"
"14","linear","NN + L2","0.975"
"14","linear","NN + Scale Invariant","0.95"
"15","moons","Random Forest","0.875"
"15","moons","Linear Discriminant Analysis","0.825"
"15","moons","NN","0.825"
"15","moons","NN + L2","0.775"
"15","moons","NN + Scale Invariant","0.8"
"15","circles","Random Forest","0.85"
"15","circles","Linear Discriminant Analysis","0.275"
"15","circles","NN","0.575"
"15","circles","NN + L2","0.6"
"15","circles","NN + Scale Invariant","0.625"
"15","linear","Random Forest","0.925"
"15","linear","Linear Discriminant Analysis","0.925"
"15","linear","NN","0.925"
"15","linear","NN + L2","0.875"
"15","linear","NN + Scale Invariant","0.925"
"16","moons","Random Forest","0.875"
"16","moons","Linear Discriminant Analysis","0.85"
"16","moons","NN","0.85"
"16","moons","NN + L2","0.875"
"16","moons","NN + Scale Invariant","0.875"
"16","circles","Random Forest","0.925"
"16","circles","Linear Discriminant Analysis","0.4"
"16","circles","NN","0.5"
"16","circles","NN + L2","0.525"
"16","circles","NN + Scale Invariant","0.425"
"16","linear","Random Forest","0.975"
"16","linear","Linear Discriminant Analysis","1.0"
"16","linear","NN","0.975"
"16","linear","NN + L2","1.0"
"16","linear","NN + Scale Invariant","0.975"
"17","moons","Random Forest","0.85"
"17","moons","Linear Discriminant Analysis","0.8"
"17","moons","NN","0.8"
"17","moons","NN + L2","0.8"
"17","moons","NN + Scale Invariant","0.775"
"17","circles","Random Forest","0.675"
"17","circles","Linear Discriminant Analysis","0.525"
"17","circles","NN","0.7"
"17","circles","NN + L2","0.575"
"17","circles","NN + Scale Invariant","0.775"
"17","linear","Random Forest","0.95"
"17","linear","Linear Discriminant Analysis","1.0"
"17","linear","NN","1.0"
"17","linear","NN + L2","0.975"
"17","linear","NN + Scale Invariant","0.975"
"18","moons","Random Forest","0.825"
"18","moons","Linear Discriminant Analysis","0.825"
"18","moons","NN","0.825"
"18","moons","NN + L2","0.8"
"18","moons","NN + Scale Invariant","0.825"
"18","circles","Random Forest","0.775"
"18","circles","Linear Discriminant Analysis","0.45"
"18","circles","NN","0.575"
"18","circles","NN + L2","0.725"
"18","circles","NN + Scale Invariant","0.625"
"18","linear","Random Forest","0.95"
"18","linear","Linear Discriminant Analysis","0.95"
"18","linear","NN","0.95"
"18","linear","NN + L2","0.95"
"18","linear","NN + Scale Invariant","0.95"
"19","moons","Random Forest","0.95"
"19","moons","Linear Discriminant Analysis","0.875"
"19","moons","NN","0.875"
"19","moons","NN + L2","0.825"
"19","moons","NN + Scale Invariant","0.875"
"19","circles","Random Forest","0.775"
"19","circles","Linear Discriminant Analysis","0.575"
"19","circles","NN","0.675"
"19","circles","NN + L2","0.825"
"19","circles","NN + Scale Invariant","0.625"
"19","linear","Random Forest","0.95"
"19","linear","Linear Discriminant Analysis","0.975"
"19","linear","NN","0.975"
"19","linear","NN + L2","0.975"
"19","linear","NN + Scale Invariant","0.975"
"20","moons","Random Forest","0.875"
"20","moons","Linear Discriminant Analysis","0.85"
"20","moons","NN","0.85"
"20","moons","NN + L2","0.825"
"20","moons","NN + Scale Invariant","0.825"
"20","circles","Random Forest","0.8"
"20","circles","Linear Discriminant Analysis","0.275"
"20","circles","NN","0.6"
"20","circles","NN + L2","0.425"
"20","circles","NN + Scale Invariant","0.55"
"20","linear","Random Forest","0.725"
"20","linear","Linear Discriminant Analysis","0.775"
"20","linear","NN","0.825"
"20","linear","NN + L2","0.8"
"20","linear","NN + Scale Invariant","0.725"
"21","moons","Random Forest","0.9"
"21","moons","Linear Discriminant Analysis","0.825"
"21","moons","NN","0.825"
"21","moons","NN + L2","0.8"
"21","moons","NN + Scale Invariant","0.8"
"21","circles","Random Forest","0.65"
"21","circles","Linear Discriminant Analysis","0.4"
"21","circles","NN","0.575"
"21","circles","NN + L2","0.525"
"21","circles","NN + Scale Invariant","0.65"
"21","linear","Random Forest","0.825"
"21","linear","Linear Discriminant Analysis","0.775"
"21","linear","NN","0.775"
"21","linear","NN + L2","0.8"
"21","linear","NN + Scale Invariant","0.8"
"22","moons","Random Forest","0.775"
"22","moons","Linear Discriminant Analysis","0.75"
"22","moons","NN","0.775"
"22","moons","NN + L2","0.75"
"22","moons","NN + Scale Invariant","0.775"
"22","circles","Random Forest","0.8"
"22","circles","Linear Discriminant Analysis","0.65"
"22","circles","NN","0.7"
"22","circles","NN + L2","0.8"
"22","circles","NN + Scale Invariant","0.6"
"22","linear","Random Forest","0.925"
"22","linear","Linear Discriminant Analysis","0.95"
"22","linear","NN","0.95"
"22","linear","NN + L2","0.95"
"22","linear","NN + Scale Invariant","0.95"
"23","moons","Random Forest","0.825"
"23","moons","Linear Discriminant Analysis","0.825"
"23","moons","NN","0.825"
"23","moons","NN + L2","0.825"
"23","moons","NN + Scale Invariant","0.825"
"23","circles","Random Forest","0.8"
"23","circles","Linear Discriminant Analysis","0.5"
"23","circles","NN","0.625"
"23","circles","NN + L2","0.45"
"23","circles","NN + Scale Invariant","0.55"
"23","linear","Random Forest","0.95"
"23","linear","Linear Discriminant Analysis","0.95"
"23","linear","NN","0.95"
"23","linear","NN + L2","0.95"
"23","linear","NN + Scale Invariant","0.975"
"24","moons","Random Forest","0.825"
"24","moons","Linear Discriminant Analysis","0.9"
"24","moons","NN","0.9"
"24","moons","NN + L2","0.85"
"24","moons","NN + Scale Invariant","0.875"
"24","circles","Random Forest","0.9"
"24","circles","Linear Discriminant Analysis","0.35"
"24","circles","NN","0.725"
"24","circles","NN + L2","0.725"
"24","circles","NN + Scale Invariant","0.75"
"24","linear","Random Forest","0.85"
"24","linear","Linear Discriminant Analysis","0.9"
"24","linear","NN","0.9"
"24","linear","NN + L2","0.875"
"24","linear","NN + Scale Invariant","0.925"
"25","moons","Random Forest","0.85"
"25","moons","Linear Discriminant Analysis","0.825"
"25","moons","NN","0.825"
"25","moons","NN + L2","0.825"
"25","moons","NN + Scale Invariant","0.85"
"25","circles","Random Forest","0.925"
"25","circles","Linear Discriminant Analysis","0.425"
"25","circles","NN","0.7"
"25","circles","NN + L2","0.5"
"25","circles","NN + Scale Invariant","0.675"
"25","linear","Random Forest","0.95"
"25","linear","Linear Discriminant Analysis","0.975"
"25","linear","NN","1.0"
"25","linear","NN + L2","1.0"
"25","linear","NN + Scale Invariant","1.0"
"26","moons","Random Forest","0.775"
"26","moons","Linear Discriminant Analysis","0.7"
"26","moons","NN","0.725"
"26","moons","NN + L2","0.725"
"26","moons","NN + Scale Invariant","0.7"
"26","circles","Random Forest","0.875"
"26","circles","Linear Discriminant Analysis","0.45"
"26","circles","NN","0.675"
"26","circles","NN + L2","0.75"
"26","circles","NN + Scale Invariant","0.85"
"26","linear","Random Forest","0.95"
"26","linear","Linear Discriminant Analysis","0.95"
"26","linear","NN","0.95"
"26","linear","NN + L2","0.95"
"26","linear","NN + Scale Invariant","0.95"
"27","moons","Random Forest","0.9"
