"trial","dataset","model","score"
"9","linear","NN + L2","0.7"
"9","linear","NN + Scale Invariant","0.7"
"10","moons","Random Forest","0.7"
"10","moons","Linear Discriminant Analysis","0.8"
"10","moons","NN","0.7"
"10","moons","NN + L2","0.8"
"10","moons","NN + Scale Invariant","0.8"
"10","circles","Random Forest","0.5"
"10","circles","Linear Discriminant Analysis","0.4"
"10","circles","NN","0.2"
"10","circles","NN + L2","0.3"
"10","circles","NN + Scale Invariant","0.2"
"10","linear","Random Forest","0.6"
"10","linear","Linear Discriminant Analysis","0.6"
"10","linear","NN","0.7"
"10","linear","NN + L2","0.8"
"10","linear","NN + Scale Invariant","0.6"
"11","moons","Random Forest","0.9"
"11","moons","Linear Discriminant Analysis","0.9"
"11","moons","NN","0.8"
"11","moons","NN + L2","0.8"
"11","moons","NN + Scale Invariant","0.8"
"11","circles","Random Forest","0.6"
"11","circles","Linear Discriminant Analysis","0.5"
"11","circles","NN","0.5"
"11","circles","NN + L2","0.5"
"11","circles","NN + Scale Invariant","0.6"
"11","linear","Random Forest","0.8"
"11","linear","Linear Discriminant Analysis","0.9"
"11","linear","NN","0.8"
"11","linear","NN + L2","0.7"
"11","linear","NN + Scale Invariant","0.9"
"12","moons","Random Forest","0.8"
"12","moons","Linear Discriminant Analysis","0.8"
"12","moons","NN","0.8"
"12","moons","NN + L2","0.9"
"12","moons","NN + Scale Invariant","0.9"
"12","circles","Random Forest","0.6"
"12","circles","Linear Discriminant Analysis","0.1"
"12","circles","NN","0.5"
"12","circles","NN + L2","0.3"
"12","circles","NN + Scale Invariant","0.5"
"12","linear","Random Forest","0.7"
"12","linear","Linear Discriminant Analysis","0.9"
"12","linear","NN","0.9"
"12","linear","NN + L2","0.8"
"12","linear","NN + Scale Invariant","0.8"
"13","moons","Random Forest","0.9"
"13","moons","Linear Discriminant Analysis","0.8"
"13","moons","NN","0.8"
"13","moons","NN + L2","0.9"
"13","moons","NN + Scale Invariant","0.9"
"13","circles","Random Forest","0.3"
"13","circles","Linear Discriminant Analysis","0.4"
"13","circles","NN","0.3"
"13","circles","NN + L2","0.3"
"13","circles","NN + Scale Invariant","0.3"
"13","linear","Random Forest","0.7"
"13","linear","Linear Discriminant Analysis","0.7"
"13","linear","NN","0.7"
"13","linear","NN + L2","0.7"
"13","linear","NN + Scale Invariant","0.6"
"14","moons","Random Forest","0.7"
"14","moons","Linear Discriminant Analysis","0.9"
"14","moons","NN","0.8"
"14","moons","NN + L2","0.8"
"14","moons","NN + Scale Invariant","0.8"
"14","circles","Random Forest","0.9"
"14","circles","Linear Discriminant Analysis","0.5"
"14","circles","NN","0.6"
"14","circles","NN + L2","0.6"
"14","circles","NN + Scale Invariant","0.6"
"14","linear","Random Forest","0.7"
"14","linear","Linear Discriminant Analysis","0.7"
"14","linear","NN","0.7"
"14","linear","NN + L2","0.7"
"14","linear","NN + Scale Invariant","0.7"
"15","moons","Random Forest","0.7"
"15","moons","Linear Discriminant Analysis","0.7"
"15","moons","NN","0.7"
"15","moons","NN + L2","0.7"
"15","moons","NN + Scale Invariant","0.7"
"15","circles","Random Forest","0.9"
"15","circles","Linear Discriminant Analysis","0.4"
"15","circles","NN","0.4"
"15","circles","NN + L2","0.6"
"15","circles","NN + Scale Invariant","0.7"
"15","linear","Random Forest","0.6"
"15","linear","Linear Discriminant Analysis","0.6"
"15","linear","NN","0.6"
"15","linear","NN + L2","0.6"
"15","linear","NN + Scale Invariant","0.6"
"16","moons","Random Forest","0.8"
"16","moons","Linear Discriminant Analysis","0.8"
"16","moons","NN","0.8"
"16","moons","NN + L2","0.9"
"16","moons","NN + Scale Invariant","0.8"
"16","circles","Random Forest","0.8"
"16","circles","Linear Discriminant Analysis","0.4"
"16","circles","NN","0.3"
"16","circles","NN + L2","0.4"
"16","circles","NN + Scale Invariant","0.6"
"16","linear","Random Forest","0.9"
"16","linear","Linear Discriminant Analysis","0.8"
"16","linear","NN","0.7"
"16","linear","NN + L2","0.8"
"16","linear","NN + Scale Invariant","0.9"
"17","moons","Random Forest","0.6"
"17","moons","Linear Discriminant Analysis","0.7"
"17","moons","NN","0.8"
"17","moons","NN + L2","0.8"
"17","moons","NN + Scale Invariant","0.8"
"17","circles","Random Forest","0.7"
