"trial","dataset","model","score"
"49","circles","Linear Discriminant Analysis","0.3"
"49","circles","NN","0.2"
"49","circles","NN + L2","0.4"
"49","circles","NN + Scale Invariant","0.5"
"49","linear","Random Forest","0.6"
"49","linear","Linear Discriminant Analysis","0.8"
"49","linear","NN","0.8"
"49","linear","NN + L2","0.8"
"49","linear","NN + Scale Invariant","0.8"
"50","moons","Random Forest","0.4"
"50","moons","Linear Discriminant Analysis","0.4"
"50","moons","NN","0.5"
"50","moons","NN + L2","0.7"
"50","moons","NN + Scale Invariant","0.7"
"50","circles","Random Forest","0.4"
"50","circles","Linear Discriminant Analysis","0.3"
"50","circles","NN","0.4"
"50","circles","NN + L2","0.4"
"50","circles","NN + Scale Invariant","0.5"
"50","linear","Random Forest","0.9"
"50","linear","Linear Discriminant Analysis","1.0"
"50","linear","NN","0.7"
"50","linear","NN + L2","0.7"
"50","linear","NN + Scale Invariant","0.9"
"51","moons","Random Forest","0.9"
"51","moons","Linear Discriminant Analysis","0.8"
"51","moons","NN","0.9"
"51","moons","NN + L2","0.8"
"51","moons","NN + Scale Invariant","0.7"
"51","circles","Random Forest","0.4"
"51","circles","Linear Discriminant Analysis","0.3"
"51","circles","NN","0.4"
"51","circles","NN + L2","0.5"
"51","circles","NN + Scale Invariant","0.3"
"51","linear","Random Forest","0.8"
"51","linear","Linear Discriminant Analysis","0.8"
"51","linear","NN","0.8"
"51","linear","NN + L2","0.8"
"51","linear","NN + Scale Invariant","0.9"
"52","moons","Random Forest","0.7"
"52","moons","Linear Discriminant Analysis","0.8"
"52","moons","NN","0.8"
"52","moons","NN + L2","0.8"
"52","moons","NN + Scale Invariant","0.8"
"52","circles","Random Forest","0.7"
"52","circles","Linear Discriminant Analysis","0.5"
"52","circles","NN","0.3"
"52","circles","NN + L2","0.5"
"52","circles","NN + Scale Invariant","1.0"
"52","linear","Random Forest","0.9"
"52","linear","Linear Discriminant Analysis","0.9"
"52","linear","NN","0.9"
"52","linear","NN + L2","1.0"
"52","linear","NN + Scale Invariant","1.0"
"53","moons","Random Forest","1.0"
"53","moons","Linear Discriminant Analysis","0.9"
"53","moons","NN","1.0"
"53","moons","NN + L2","0.8"
"53","moons","NN + Scale Invariant","0.9"
"53","circles","Random Forest","0.7"
"53","circles","Linear Discriminant Analysis","0.4"
"53","circles","NN","0.6"
"53","circles","NN + L2","0.7"
"53","circles","NN + Scale Invariant","0.6"
"53","linear","Random Forest","0.8"
"53","linear","Linear Discriminant Analysis","0.8"
"53","linear","NN","0.8"
"53","linear","NN + L2","0.8"
"53","linear","NN + Scale Invariant","0.8"
"54","moons","Random Forest","0.6"
"54","moons","Linear Discriminant Analysis","0.9"
"54","moons","NN","0.9"
"54","moons","NN + L2","0.8"
"54","moons","NN + Scale Invariant","0.8"
"54","circles","Random Forest","0.6"
"54","circles","Linear Discriminant Analysis","0.5"
"54","circles","NN","0.5"
"54","circles","NN + L2","0.7"
"54","circles","NN + Scale Invariant","0.7"
"54","linear","Random Forest","0.8"
"54","linear","Linear Discriminant Analysis","0.9"
"54","linear","NN","0.9"
"54","linear","NN + L2","0.9"
"54","linear","NN + Scale Invariant","0.9"
"55","moons","Random Forest","0.6"
"55","moons","Linear Discriminant Analysis","0.5"
"55","moons","NN","0.8"
"55","moons","NN + L2","0.8"
"55","moons","NN + Scale Invariant","0.8"
"55","circles","Random Forest","0.8"
"55","circles","Linear Discriminant Analysis","0.7"
"55","circles","NN","0.8"
"55","circles","NN + L2","0.9"
"55","circles","NN + Scale Invariant","0.9"
"55","linear","Random Forest","1.0"
"55","linear","Linear Discriminant Analysis","1.0"
"55","linear","NN","1.0"
"55","linear","NN + L2","1.0"
"55","linear","NN + Scale Invariant","1.0"
"56","moons","Random Forest","0.8"
"56","moons","Linear Discriminant Analysis","0.9"
"56","moons","NN","0.9"
"56","moons","NN + L2","0.9"
"56","moons","NN + Scale Invariant","0.9"
"56","circles","Random Forest","0.6"
"56","circles","Linear Discriminant Analysis","0.3"
"56","circles","NN","0.4"
"56","circles","NN + L2","0.3"
"56","circles","NN + Scale Invariant","0.4"
"56","linear","Random Forest","0.8"
"56","linear","Linear Discriminant Analysis","0.8"
"56","linear","NN","0.7"
"56","linear","NN + L2","0.8"
"56","linear","NN + Scale Invariant","0.7"
"57","moons","Random Forest","0.8"
"57","moons","Linear Discriminant Analysis","0.8"
"57","moons","NN","0.8"
"57","moons","NN + L2","0.8"
"57","moons","NN + Scale Invariant","0.8"
"57","circles","Random Forest","0.6"
"57","circles","Linear Discriminant Analysis","0.3"
"57","circles","NN","0.3"
"57","circles","NN + L2","0.2"
"57","circles","NN + Scale Invariant","0.3"
"57","linear","Random Forest","0.9"
"57","linear","Linear Discriminant Analysis","0.9"
"57","linear","NN","0.5"
"57","linear","NN + L2","0.2"
"57","linear","NN + Scale Invariant","0.7"
"58","moons","Random Forest","0.7"
"58","moons","Linear Discriminant Analysis","0.9"
"58","moons","NN","0.9"
"58","moons","NN + L2","0.9"
"58","moons","NN + Scale Invariant","0.9"
"58","circles","Random Forest","0.6"
"58","circles","Linear Discriminant Analysis","0.6"
"58","circles","NN","0.7"
"58","circles","NN + L2","0.6"
"58","circles","NN + Scale Invariant","0.7"
"58","linear","Random Forest","1.0"
"58","linear","Linear Discriminant Analysis","1.0"
"58","linear","NN","1.0"
"58","linear","NN + L2","1.0"
"58","linear","NN + Scale Invariant","1.0"
"59","moons","Random Forest","0.8"
"59","moons","Linear Discriminant Analysis","0.9"
"59","moons","NN","0.8"
"59","moons","NN + L2","0.9"
"59","moons","NN + Scale Invariant","0.8"
"59","circles","Random Forest","0.6"
"59","circles","Linear Discriminant Analysis","0.4"
"59","circles","NN","0.2"
"59","circles","NN + L2","0.4"
"59","circles","NN + Scale Invariant","0.6"
"59","linear","Random Forest","0.7"
"59","linear","Linear Discriminant Analysis","0.9"
"59","linear","NN","0.9"
"59","linear","NN + L2","0.9"
"59","linear","NN + Scale Invariant","0.9"
"60","moons","Random Forest","0.9"
"60","moons","Linear Discriminant Analysis","0.9"
"60","moons","NN","0.9"
"60","moons","NN + L2","0.9"
"60","moons","NN + Scale Invariant","0.9"
"60","circles","Random Forest","0.4"
"60","circles","Linear Discriminant Analysis","0.4"
"60","circles","NN","0.5"
"60","circles","NN + L2","0.5"
"60","circles","NN + Scale Invariant","0.5"
"60","linear","Random Forest","0.8"
"60","linear","Linear Discriminant Analysis","0.9"
"60","linear","NN","0.9"
"60","linear","NN + L2","0.9"
"60","linear","NN + Scale Invariant","0.9"
"61","moons","Random Forest","0.6"
"61","moons","Linear Discriminant Analysis","0.8"
"61","moons","NN","0.8"
"61","moons","NN + L2","0.8"
"61","moons","NN + Scale Invariant","0.8"
"61","circles","Random Forest","0.6"
"61","circles","Linear Discriminant Analysis","0.6"
"61","circles","NN","0.5"
"61","circles","NN + L2","0.7"
"61","circles","NN + Scale Invariant","0.6"
"61","linear","Random Forest","1.0"
"61","linear","Linear Discriminant Analysis","1.0"
"61","linear","NN","1.0"
"61","linear","NN + L2","1.0"
"61","linear","NN + Scale Invariant","1.0"
"62","moons","Random Forest","0.9"
"62","moons","Linear Discriminant Analysis","0.9"
"62","moons","NN","0.9"
"62","moons","NN + L2","0.9"
"62","moons","NN + Scale Invariant","1.0"
"62","circles","Random Forest","0.9"
"62","circles","Linear Discriminant Analysis","0.2"
"62","circles","NN","0.4"
"62","circles","NN + L2","0.3"
"62","circles","NN + Scale Invariant","0.5"
"62","linear","Random Forest","0.8"
"62","linear","Linear Discriminant Analysis","0.8"
"62","linear","NN","0.8"
"62","linear","NN + L2","0.7"
"62","linear","NN + Scale Invariant","0.8"
"63","moons","Random Forest","0.8"
"63","moons","Linear Discriminant Analysis","0.9"
"63","moons","NN","0.9"
"63","moons","NN + L2","0.9"
"63","moons","NN + Scale Invariant","0.7"
"63","circles","Random Forest","0.6"
"63","circles","Linear Discriminant Analysis","0.4"
"63","circles","NN","0.4"
"63","circles","NN + L2","0.4"
"63","circles","NN + Scale Invariant","0.4"
"63","linear","Random Forest","0.8"
"63","linear","Linear Discriminant Analysis","0.8"
"63","linear","NN","0.8"
"63","linear","NN + L2","0.8"
"63","linear","NN + Scale Invariant","0.6"
"64","moons","Random Forest","0.7"
"64","moons","Linear Discriminant Analysis","0.8"
"64","moons","NN","0.8"
"64","moons","NN + L2","0.7"
"64","moons","NN + Scale Invariant","0.7"
"64","circles","Random Forest","0.7"
"64","circles","Linear Discriminant Analysis","0.5"
"64","circles","NN","0.6"
"64","circles","NN + L2","0.6"
"64","circles","NN + Scale Invariant","0.7"
"64","linear","Random Forest","0.7"
"64","linear","Linear Discriminant Analysis","0.6"
"64","linear","NN","0.6"
"64","linear","NN + L2","0.6"
"64","linear","NN + Scale Invariant","0.8"
"65","moons","Random Forest","0.9"
"65","moons","Linear Discriminant Analysis","0.9"
"65","moons","NN","0.8"
"65","moons","NN + L2","0.7"
"65","moons","NN + Scale Invariant","1.0"
"65","circles","Random Forest","0.6"
"65","circles","Linear Discriminant Analysis","0.1"
"65","circles","NN","0.3"
"65","circles","NN + L2","0.3"
"65","circles","NN + Scale Invariant","0.3"
"65","linear","Random Forest","1.0"
"65","linear","Linear Discriminant Analysis","0.8"
"65","linear","NN","0.9"
"65","linear","NN + L2","0.7"
"65","linear","NN + Scale Invariant","0.8"
"66","moons","Random Forest","0.9"
"66","moons","Linear Discriminant Analysis","0.8"
"66","moons","NN","0.8"
"66","moons","NN + L2","0.8"
"66","moons","NN + Scale Invariant","0.8"
"66","circles","Random Forest","0.6"
"66","circles","Linear Discriminant Analysis","0.7"
"66","circles","NN","0.4"
"66","circles","NN + L2","0.4"
"66","circles","NN + Scale Invariant","0.3"
"66","linear","Random Forest","1.0"
"66","linear","Linear Discriminant Analysis","1.0"
"66","linear","NN","1.0"
"66","linear","NN + L2","1.0"
"66","linear","NN + Scale Invariant","1.0"
"67","moons","Random Forest","0.9"
"67","moons","Linear Discriminant Analysis","0.9"
"67","moons","NN","0.9"
"67","moons","NN + L2","1.0"
"67","moons","NN + Scale Invariant","0.9"
"67","circles","Random Forest","0.6"
"67","circles","Linear Discriminant Analysis","0.4"
"67","circles","NN","0.6"
"67","circles","NN + L2","0.5"
"67","circles","NN + Scale Invariant","0.5"
"67","linear","Random Forest","0.9"
"67","linear","Linear Discriminant Analysis","1.0"
"67","linear","NN","0.9"
"67","linear","NN + L2","1.0"
"67","linear","NN + Scale Invariant","1.0"
"68","moons","Random Forest","0.8"
"68","moons","Linear Discriminant Analysis","0.9"
"68","moons","NN","0.9"
"68","moons","NN + L2","0.8"
"68","moons","NN + Scale Invariant","0.9"
"68","circles","Random Forest","0.7"
"68","circles","Linear Discriminant Analysis","0.4"
"68","circles","NN","0.2"
"68","circles","NN + L2","0.3"
"68","circles","NN + Scale Invariant","0.5"
"68","linear","Random Forest","0.6"
"68","linear","Linear Discriminant Analysis","0.5"
"68","linear","NN","0.5"
"68","linear","NN + L2","0.4"
"68","linear","NN + Scale Invariant","0.6"
"69","moons","Random Forest","0.6"
"69","moons","Linear Discriminant Analysis","0.7"
"69","moons","NN","0.7"
"69","moons","NN + L2","0.7"
"69","moons","NN + Scale Invariant","0.7"
"69","circles","Random Forest","0.4"
"69","circles","Linear Discriminant Analysis","0.5"
"69","circles","NN","0.3"
"69","circles","NN + L2","0.3"
"69","circles","NN + Scale Invariant","0.5"
"69","linear","Random Forest","0.8"
"69","linear","Linear Discriminant Analysis","0.8"
"69","linear","NN","0.9"
"69","linear","NN + L2","0.8"
"69","linear","NN + Scale Invariant","0.8"
"70","moons","Random Forest","0.5"
"70","moons","Linear Discriminant Analysis","0.6"
"70","moons","NN","0.6"
"70","moons","NN + L2","0.6"
"70","moons","NN + Scale Invariant","0.6"
"70","circles","Random Forest","0.6"
"70","circles","Linear Discriminant Analysis","0.2"
"70","circles","NN","0.2"
"70","circles","NN + L2","0.3"
"70","circles","NN + Scale Invariant","0.4"
"70","linear","Random Forest","0.8"
"70","linear","Linear Discriminant Analysis","0.9"
"70","linear","NN","0.7"
"70","linear","NN + L2","0.9"
"70","linear","NN + Scale Invariant","0.9"
"71","moons","Random Forest","0.5"
"71","moons","Linear Discriminant Analysis","0.8"
"71","moons","NN","0.8"
"71","moons","NN + L2","0.8"
"71","moons","NN + Scale Invariant","0.7"
"71","circles","Random Forest","1.0"
"71","circles","Linear Discriminant Analysis","0.1"
"71","circles","NN","0.3"
"71","circles","NN + L2","0.4"
"71","circles","NN + Scale Invariant","0.4"
"71","linear","Random Forest","0.7"
"71","linear","Linear Discriminant Analysis","0.7"
"71","linear","NN","0.7"
"71","linear","NN + L2","0.8"
"71","linear","NN + Scale Invariant","0.8"
"72","moons","Random Forest","0.8"
"72","moons","Linear Discriminant Analysis","0.9"
"72","moons","NN","0.7"
"72","moons","NN + L2","0.8"
"72","moons","NN + Scale Invariant","0.9"
"72","circles","Random Forest","0.5"
"72","circles","Linear Discriminant Analysis","0.3"
"72","circles","NN","0.3"
"72","circles","NN + L2","0.3"
"72","circles","NN + Scale Invariant","0.4"
"72","linear","Random Forest","0.8"
"72","linear","Linear Discriminant Analysis","0.9"
"72","linear","NN","0.9"
"72","linear","NN + L2","0.9"
"72","linear","NN + Scale Invariant","0.9"
"73","moons","Random Forest","0.8"
"73","moons","Linear Discriminant Analysis","0.7"
"73","moons","NN","0.7"
"73","moons","NN + L2","0.7"
"73","moons","NN + Scale Invariant","0.7"
"73","circles","Random Forest","0.5"
"73","circles","Linear Discriminant Analysis","0.5"
"73","circles","NN","0.5"
"73","circles","NN + L2","0.5"
"73","circles","NN + Scale Invariant","0.5"
"73","linear","Random Forest","0.8"
"73","linear","Linear Discriminant Analysis","0.8"
"73","linear","NN","0.7"
"73","linear","NN + L2","0.8"
"73","linear","NN + Scale Invariant","0.7"
"74","moons","Random Forest","0.8"
"74","moons","Linear Discriminant Analysis","0.8"
"74","moons","NN","0.7"
"74","moons","NN + L2","0.8"
"74","moons","NN + Scale Invariant","0.8"
"74","circles","Random Forest","0.7"
"74","circles","Linear Discriminant Analysis","0.5"
"74","circles","NN","0.4"
"74","circles","NN + L2","0.5"
"74","circles","NN + Scale Invariant","0.5"
"74","linear","Random Forest","0.8"
"74","linear","Linear Discriminant Analysis","0.8"
"74","linear","NN","0.7"
"74","linear","NN + L2","0.8"
"74","linear","NN + Scale Invariant","0.7"
"75","moons","Random Forest","0.6"
"75","moons","Linear Discriminant Analysis","0.8"
"75","moons","NN","0.8"
"75","moons","NN + L2","0.8"
"75","moons","NN + Scale Invariant","0.8"
"75","circles","Random Forest","0.8"
"75","circles","Linear Discriminant Analysis","0.3"
"75","circles","NN","0.5"
"75","circles","NN + L2","0.4"
"75","circles","NN + Scale Invariant","0.4"
"75","linear","Random Forest","0.9"
"75","linear","Linear Discriminant Analysis","0.9"
"75","linear","NN","1.0"
"75","linear","NN + L2","0.9"
"75","linear","NN + Scale Invariant","0.9"
"76","moons","Random Forest","1.0"
"76","moons","Linear Discriminant Analysis","1.0"
"76","moons","NN","0.9"
"76","moons","NN + L2","0.8"
"76","moons","NN + Scale Invariant","1.0"
"76","circles","Random Forest","0.5"
"76","circles","Linear Discriminant Analysis","0.4"
"76","circles","NN","0.5"
"76","circles","NN + L2","0.4"
"76","circles","NN + Scale Invariant","0.4"
"76","linear","Random Forest","0.7"
"76","linear","Linear Discriminant Analysis","0.9"
"76","linear","NN","0.9"
"76","linear","NN + L2","0.9"
"76","linear","NN + Scale Invariant","0.8"
"77","moons","Random Forest","0.8"
"77","moons","Linear Discriminant Analysis","0.9"
"77","moons","NN","0.9"
"77","moons","NN + L2","0.9"
"77","moons","NN + Scale Invariant","0.9"
"77","circles","Random Forest","0.4"
"77","circles","Linear Discriminant Analysis","0.3"
"77","circles","NN","0.4"
"77","circles","NN + L2","0.4"
"77","circles","NN + Scale Invariant","0.4"
"77","linear","Random Forest","0.8"
"77","linear","Linear Discriminant Analysis","1.0"
"77","linear","NN","0.8"
"77","linear","NN + L2","0.9"
"77","linear","NN + Scale Invariant","0.9"
"78","moons","Random Forest","0.7"
"78","moons","Linear Discriminant Analysis","0.7"
"78","moons","NN","0.7"
"78","moons","NN + L2","0.7"
"78","moons","NN + Scale Invariant","0.8"
"78","circles","Random Forest","0.6"
"78","circles","Linear Discriminant Analysis","0.3"
"78","circles","NN","0.3"
"78","circles","NN + L2","0.3"
"78","circles","NN + Scale Invariant","0.4"
"78","linear","Random Forest","0.9"
"78","linear","Linear Discriminant Analysis","0.8"
"78","linear","NN","0.8"
"78","linear","NN + L2","0.8"
"78","linear","NN + Scale Invariant","0.8"
"79","moons","Random Forest","0.5"
"79","moons","Linear Discriminant Analysis","0.5"
"79","moons","NN","0.7"
"79","moons","NN + L2","0.4"
"79","moons","NN + Scale Invariant","0.6"
"79","circles","Random Forest","0.5"
"79","circles","Linear Discriminant Analysis","0.4"
"79","circles","NN","0.3"
"79","circles","NN + L2","0.3"
"79","circles","NN + Scale Invariant","0.3"
"79","linear","Random Forest","1.0"
"79","linear","Linear Discriminant Analysis","1.0"
"79","linear","NN","1.0"
"79","linear","NN + L2","1.0"
"79","linear","NN + Scale Invariant","1.0"
"80","moons","Random Forest","0.7"
"80","moons","Linear Discriminant Analysis","0.8"
"80","moons","NN","0.9"
"80","moons","NN + L2","0.8"
"80","moons","NN + Scale Invariant","0.8"
"80","circles","Random Forest","0.9"
"80","circles","Linear Discriminant Analysis","0.3"
"80","circles","NN","0.2"
"80","circles","NN + L2","0.4"
"80","circles","NN + Scale Invariant","0.5"
"80","linear","Random Forest","1.0"
"80","linear","Linear Discriminant Analysis","1.0"
"80","linear","NN","0.9"
"80","linear","NN + L2","0.9"
"80","linear","NN + Scale Invariant","0.9"
"81","moons","Random Forest","0.9"
"81","moons","Linear Discriminant Analysis","0.9"
"81","moons","NN","0.9"
"81","moons","NN + L2","0.9"
"81","moons","NN + Scale Invariant","0.8"
"81","circles","Random Forest","0.3"
"81","circles","Linear Discriminant Analysis","0.2"
"81","circles","NN","0.3"
"81","circles","NN + L2","0.3"
"81","circles","NN + Scale Invariant","0.3"
"81","linear","Random Forest","0.8"
"81","linear","Linear Discriminant Analysis","0.9"
"81","linear","NN","1.0"
"81","linear","NN + L2","0.9"
"81","linear","NN + Scale Invariant","0.9"
"82","moons","Random Forest","0.9"
"82","moons","Linear Discriminant Analysis","1.0"
"82","moons","NN","1.0"
"82","moons","NN + L2","1.0"
"82","moons","NN + Scale Invariant","1.0"
"82","circles","Random Forest","0.6"
"82","circles","Linear Discriminant Analysis","0.5"
"82","circles","NN","0.4"
"82","circles","NN + L2","0.7"
"82","circles","NN + Scale Invariant","0.5"
"82","linear","Random Forest","0.7"
"82","linear","Linear Discriminant Analysis","0.9"
"82","linear","NN","0.8"
"82","linear","NN + L2","0.8"
"82","linear","NN + Scale Invariant","0.9"
"83","moons","Random Forest","0.5"
"83","moons","Linear Discriminant Analysis","0.9"
"83","moons","NN","0.9"
"83","moons","NN + L2","0.9"
"83","moons","NN + Scale Invariant","0.9"
"83","circles","Random Forest","1.0"
"83","circles","Linear Discriminant Analysis","0.4"
"83","circles","NN","0.7"
"83","circles","NN + L2","0.4"
"83","circles","NN + Scale Invariant","0.4"
"83","linear","Random Forest","0.6"
"83","linear","Linear Discriminant Analysis","0.8"
"83","linear","NN","0.9"
"83","linear","NN + L2","0.8"
"83","linear","NN + Scale Invariant","0.9"
"84","moons","Random Forest","0.7"
"84","moons","Linear Discriminant Analysis","0.8"
"84","moons","NN","0.8"
"84","moons","NN + L2","0.8"
"84","moons","NN + Scale Invariant","0.9"
"84","circles","Random Forest","0.6"
"84","circles","Linear Discriminant Analysis","0.5"
"84","circles","NN","0.6"
"84","circles","NN + L2","0.6"
"84","circles","NN + Scale Invariant","0.6"
"84","linear","Random Forest","0.7"
"84","linear","Linear Discriminant Analysis","0.8"
"84","linear","NN","0.9"
"84","linear","NN + L2","0.9"
"84","linear","NN + Scale Invariant","0.9"
"85","moons","Random Forest","0.7"
"85","moons","Linear Discriminant Analysis","0.8"
"85","moons","NN","0.8"
"85","moons","NN + L2","0.8"
"85","moons","NN + Scale Invariant","0.8"
"85","circles","Random Forest","1.0"
"85","circles","Linear Discriminant Analysis","0.4"
"85","circles","NN","0.3"
"85","circles","NN + L2","0.8"
"85","circles","NN + Scale Invariant","0.7"
"85","linear","Random Forest","0.8"
"85","linear","Linear Discriminant Analysis","0.8"
"85","linear","NN","0.7"
"85","linear","NN + L2","0.7"
"85","linear","NN + Scale Invariant","0.7"
"86","moons","Random Forest","0.7"
"86","moons","Linear Discriminant Analysis","0.7"
"86","moons","NN","0.7"
"86","moons","NN + L2","0.7"
"86","moons","NN + Scale Invariant","0.7"
"86","circles","Random Forest","0.5"
"86","circles","Linear Discriminant Analysis","0.3"
"86","circles","NN","0.4"
"86","circles","NN + L2","0.3"
"86","circles","NN + Scale Invariant","0.3"
"86","linear","Random Forest","0.9"
"86","linear","Linear Discriminant Analysis","0.8"
"86","linear","NN","0.8"
"86","linear","NN + L2","0.8"
"86","linear","NN + Scale Invariant","0.9"
"87","moons","Random Forest","1.0"
"87","moons","Linear Discriminant Analysis","1.0"
"87","moons","NN","1.0"
"87","moons","NN + L2","1.0"
"87","moons","NN + Scale Invariant","1.0"
"87","circles","Random Forest","0.8"
"87","circles","Linear Discriminant Analysis","0.4"
"87","circles","NN","0.4"
"87","circles","NN + L2","0.9"
"87","circles","NN + Scale Invariant","0.5"
"87","linear","Random Forest","0.9"
"87","linear","Linear Discriminant Analysis","0.6"
"87","linear","NN","0.8"
"87","linear","NN + L2","0.9"
"87","linear","NN + Scale Invariant","0.9"
"88","moons","Random Forest","0.9"
"88","moons","Linear Discriminant Analysis","1.0"
"88","moons","NN","0.9"
"88","moons","NN + L2","0.9"
"88","moons","NN + Scale Invariant","0.9"
"88","circles","Random Forest","0.7"
"88","circles","Linear Discriminant Analysis","0.4"
"88","circles","NN","0.4"
"88","circles","NN + L2","0.4"
"88","circles","NN + Scale Invariant","0.5"
"88","linear","Random Forest","0.8"
"88","linear","Linear Discriminant Analysis","0.9"
"88","linear","NN","0.9"
"88","linear","NN + L2","0.8"
"88","linear","NN + Scale Invariant","0.9"
"89","moons","Random Forest","0.9"
"89","moons","Linear Discriminant Analysis","0.8"
"89","moons","NN","0.8"
"89","moons","NN + L2","0.8"
"89","moons","NN + Scale Invariant","0.8"
"89","circles","Random Forest","0.4"
"89","circles","Linear Discriminant Analysis","0.5"
"89","circles","NN","0.5"
"89","circles","NN + L2","0.4"
"89","circles","NN + Scale Invariant","0.3"
"89","linear","Random Forest","0.7"
"89","linear","Linear Discriminant Analysis","0.9"
"89","linear","NN","0.9"
"89","linear","NN + L2","0.9"
"89","linear","NN + Scale Invariant","0.9"
"90","moons","Random Forest","0.7"
"90","moons","Linear Discriminant Analysis","0.8"
"90","moons","NN","0.9"
"90","moons","NN + L2","0.8"
"90","moons","NN + Scale Invariant","0.9"
"90","circles","Random Forest","0.7"
"90","circles","Linear Discriminant Analysis","0.4"
"90","circles","NN","0.4"
"90","circles","NN + L2","0.4"
"90","circles","NN + Scale Invariant","0.4"
"90","linear","Random Forest","0.8"
"90","linear","Linear Discriminant Analysis","0.9"
"90","linear","NN","0.8"
"90","linear","NN + L2","0.8"
"90","linear","NN + Scale Invariant","1.0"
"91","moons","Random Forest","0.6"
"91","moons","Linear Discriminant Analysis","0.5"
"91","moons","NN","0.7"
"91","moons","NN + L2","0.6"
"91","moons","NN + Scale Invariant","0.7"
"91","circles","Random Forest","0.8"
"91","circles","Linear Discriminant Analysis","0.4"
"91","circles","NN","0.3"
"91","circles","NN + L2","0.4"
"91","circles","NN + Scale Invariant","0.4"
"91","linear","Random Forest","0.6"
"91","linear","Linear Discriminant Analysis","0.7"
"91","linear","NN","0.8"
"91","linear","NN + L2","0.6"
"91","linear","NN + Scale Invariant","0.6"
"92","moons","Random Forest","0.7"
"92","moons","Linear Discriminant Analysis","0.8"
"92","moons","NN","0.8"
"92","moons","NN + L2","0.9"
"92","moons","NN + Scale Invariant","0.7"
"92","circles","Random Forest","0.4"
"92","circles","Linear Discriminant Analysis","0.4"
"92","circles","NN","0.6"
"92","circles","NN + L2","0.6"
"92","circles","NN + Scale Invariant","0.7"
"92","linear","Random Forest","0.8"
"92","linear","Linear Discriminant Analysis","0.8"
"92","linear","NN","0.8"
"92","linear","NN + L2","0.8"
"92","linear","NN + Scale Invariant","0.8"
"93","moons","Random Forest","0.8"
"93","moons","Linear Discriminant Analysis","0.7"
"93","moons","NN","0.7"
"93","moons","NN + L2","0.7"
"93","moons","NN + Scale Invariant","0.5"
"93","circles","Random Forest","0.3"
"93","circles","Linear Discriminant Analysis","0.2"
"93","circles","NN","0.2"
"93","circles","NN + L2","0.2"
"93","circles","NN + Scale Invariant","0.2"
"93","linear","Random Forest","0.7"
"93","linear","Linear Discriminant Analysis","0.8"
"93","linear","NN","0.8"
"93","linear","NN + L2","0.8"
"93","linear","NN + Scale Invariant","0.8"
"94","moons","Random Forest","0.9"
"94","moons","Linear Discriminant Analysis","0.9"
"94","moons","NN","0.9"
"94","moons","NN + L2","0.7"
"94","moons","NN + Scale Invariant","0.7"
"94","circles","Random Forest","0.5"
"94","circles","Linear Discriminant Analysis","0.4"
"94","circles","NN","0.3"
"94","circles","NN + L2","0.3"
"94","circles","NN + Scale Invariant","0.3"
"94","linear","Random Forest","0.8"
"94","linear","Linear Discriminant Analysis","0.9"
"94","linear","NN","0.7"
"94","linear","NN + L2","0.6"
"94","linear","NN + Scale Invariant","0.7"
"95","moons","Random Forest","0.6"
"95","moons","Linear Discriminant Analysis","0.7"
"95","moons","NN","0.8"
"95","moons","NN + L2","0.7"
"95","moons","NN + Scale Invariant","0.6"
"95","circles","Random Forest","0.6"
"95","circles","Linear Discriminant Analysis","0.4"
"95","circles","NN","0.2"
"95","circles","NN + L2","0.3"
"95","circles","NN + Scale Invariant","0.3"
"95","linear","Random Forest","1.0"
"95","linear","Linear Discriminant Analysis","1.0"
"95","linear","NN","0.9"
"95","linear","NN + L2","1.0"
"95","linear","NN + Scale Invariant","1.0"
"96","moons","Random Forest","0.4"
"96","moons","Linear Discriminant Analysis","0.6"
"96","moons","NN","0.7"
"96","moons","NN + L2","0.8"
"96","moons","NN + Scale Invariant","0.8"
"96","circles","Random Forest","0.6"
"96","circles","Linear Discriminant Analysis","0.5"
"96","circles","NN","0.4"
"96","circles","NN + L2","0.4"
"96","circles","NN + Scale Invariant","0.5"
"96","linear","Random Forest","0.7"
"96","linear","Linear Discriminant Analysis","0.7"
"96","linear","NN","0.8"
"96","linear","NN + L2","0.8"
"96","linear","NN + Scale Invariant","0.8"
"97","moons","Random Forest","0.8"
"97","moons","Linear Discriminant Analysis","0.6"
"97","moons","NN","0.7"
"97","moons","NN + L2","0.7"
"97","moons","NN + Scale Invariant","0.7"
"97","circles","Random Forest","0.6"
"97","circles","Linear Discriminant Analysis","0.3"
"97","circles","NN","0.4"
"97","circles","NN + L2","0.6"
"97","circles","NN + Scale Invariant","0.4"
"97","linear","Random Forest","0.9"
"97","linear","Linear Discriminant Analysis","0.9"
"97","linear","NN","0.9"
"97","linear","NN + L2","0.9"
"97","linear","NN + Scale Invariant","0.9"
"98","moons","Random Forest","0.8"
"98","moons","Linear Discriminant Analysis","0.8"
"98","moons","NN","0.8"
"98","moons","NN + L2","0.8"
"98","moons","NN + Scale Invariant","0.8"
"98","circles","Random Forest","0.4"
"98","circles","Linear Discriminant Analysis","0.4"
"98","circles","NN","0.4"
"98","circles","NN + L2","0.5"
"98","circles","NN + Scale Invariant","0.4"
"98","linear","Random Forest","0.6"
"98","linear","Linear Discriminant Analysis","0.7"
"98","linear","NN","0.7"
"98","linear","NN + L2","0.5"
