1.000000000000000000e+00 9.279538904899135021e-01
5.000000000000000000e-01 8.515850144092218521e-01
2.000000000000000111e-01 8.631123919308357761e-01
1.000000000000000056e-01 8.314121037463977348e-01
5.000000000000000278e-02 7.910662824207492783e-01
2.000000000000000042e-02 7.190201729106627804e-01
1.000000000000000021e-02 6.858789625360230957e-01
5.000000000000000104e-03 6.138328530259365978e-01
2.000000000000000042e-03 5.864553314121037086e-01
1.000000000000000021e-03 5.461095100864553631e-01
5.000000000000000104e-04 5.158501440922189651e-01
2.000000000000000096e-04 4.985590778097982456e-01
1.000000000000000048e-04 4.841498559077809793e-01
5.000000000000000240e-05 4.783861671469740728e-01
2.000000000000000164e-05 4.524495677233429380e-01
1.000000000000000082e-05 4.682997118155619587e-01
4.999999999999999562e-06 4.610951008645532978e-01
1.999999999999999909e-06 4.553314121037463913e-01
9.999999999999999547e-07 4.682997118155619587e-01
4.999999999999999774e-07 4.625360230547550522e-01
1.999999999999999909e-07 4.682997118155619587e-01
9.999999999999999547e-08 4.654178674351585054e-01
4.999999999999999774e-08 4.783861671469740728e-01
2.000000000000000042e-08 4.899135446685878859e-01
1.000000000000000021e-08 4.654178674351585054e-01
5.000000000000000105e-09 4.596541786743515989e-01
2.000000000000000125e-09 4.783861671469740728e-01
1.000000000000000062e-09 4.668587896253602043e-01
5.000000000000000311e-10 4.783861671469740728e-01
2.000000000000000073e-10 4.755043227665706196e-01
1.000000000000000036e-10 4.625360230547550522e-01
0.000000000000000000e+00 4.682997118155619587e-01
