"trial","dataset","model","missclassification"
"6","moons","Random Forest","0.175"
"6","moons","Linear Discriminant Analysis","0.225"
"6","moons","NN","0.2"
"6","moons","NN + L2","0.525"
"6","moons","NN + Scale Invariant","0.2"
"6","moons","NN + Offset Invariant","0.25"
"6","circles","Random Forest","0.25"
"6","circles","Linear Discriminant Analysis","0.65"
"6","circles","NN","0.35"
"6","circles","NN + L2","0.55"
"6","circles","NN + Scale Invariant","0.45"
"6","circles","NN + Offset Invariant","0.4"
"6","linear","Random Forest","0.3"
"6","linear","Linear Discriminant Analysis","0.275"
"6","linear","NN","0.225"
"6","linear","NN + L2","0.55"
"6","linear","NN + Scale Invariant","0.225"
"6","linear","NN + Offset Invariant","0.275"
"6","xor","Random Forest","0.325"
"6","xor","Linear Discriminant Analysis","0.45"
"6","xor","NN","0.225"
"6","xor","NN + L2","0.575"
"6","xor","NN + Scale Invariant","0.225"
"6","xor","NN + Offset Invariant","0.175"
"7","moons","Random Forest","0.1"
"7","moons","Linear Discriminant Analysis","0.2"
"7","moons","NN","0.2"
"7","moons","NN + L2","0.575"
"7","moons","NN + Scale Invariant","0.2"
"7","moons","NN + Offset Invariant","0.2"
"7","circles","Random Forest","0.225"
"7","circles","Linear Discriminant Analysis","0.6"
"7","circles","NN","0.4"
"7","circles","NN + L2","0.525"
"7","circles","NN + Scale Invariant","0.375"
"7","circles","NN + Offset Invariant","0.45"
"7","linear","Random Forest","0.05"
"7","linear","Linear Discriminant Analysis","0.05"
"7","linear","NN","0.075"
"7","linear","NN + L2","0.5"
"7","linear","NN + Scale Invariant","0.075"
"7","linear","NN + Offset Invariant","0.075"
"7","xor","Random Forest","0.35"
"7","xor","Linear Discriminant Analysis","0.5"
"7","xor","NN","0.175"
"7","xor","NN + L2","0.575"
"7","xor","NN + Scale Invariant","0.225"
"7","xor","NN + Offset Invariant","0.25"
"8","moons","Random Forest","0.2"
"8","moons","Linear Discriminant Analysis","0.175"
"8","moons","NN","0.225"
"8","moons","NN + L2","0.575"
"8","moons","NN + Scale Invariant","0.175"
"8","moons","NN + Offset Invariant","0.2"
"8","circles","Random Forest","0.25"
"8","circles","Linear Discriminant Analysis","0.5"
"8","circles","NN","0.25"
"8","circles","NN + L2","0.55"
"8","circles","NN + Scale Invariant","0.375"
"8","circles","NN + Offset Invariant","0.5"
"8","linear","Random Forest","0.275"
"8","linear","Linear Discriminant Analysis","0.2"
"8","linear","NN","0.175"
"8","linear","NN + L2","0.55"
"8","linear","NN + Scale Invariant","0.2"
"8","linear","NN + Offset Invariant","0.175"
"8","xor","Random Forest","0.15"
"8","xor","Linear Discriminant Analysis","0.525"
"8","xor","NN","0.125"
"8","xor","NN + L2","0.5"
"8","xor","NN + Scale Invariant","0.15"
"8","xor","NN + Offset Invariant","0.2"
"9","moons","Random Forest","0.15"
"9","moons","Linear Discriminant Analysis","0.2"
"9","moons","NN","0.175"
"9","moons","NN + L2","0.55"
"9","moons","NN + Scale Invariant","0.2"
"9","moons","NN + Offset Invariant","0.2"
"9","circles","Random Forest","0.25"
"9","circles","Linear Discriminant Analysis","0.625"
"9","circles","NN","0.45"
"9","circles","NN + L2","0.65"
"9","circles","NN + Scale Invariant","0.525"
"9","circles","NN + Offset Invariant","0.525"
"9","linear","Random Forest","0.125"
"9","linear","Linear Discriminant Analysis","0.125"
"9","linear","NN","0.125"
"9","linear","NN + L2","0.575"
"9","linear","NN + Scale Invariant","0.125"
"9","linear","NN + Offset Invariant","0.15"
"9","xor","Random Forest","0.275"
"9","xor","Linear Discriminant Analysis","0.375"
"9","xor","NN","0.25"
"9","xor","NN + L2","0.4"
"9","xor","NN + Scale Invariant","0.25"
"9","xor","NN + Offset Invariant","0.25"
"10","moons","Random Forest","0.125"
"10","moons","Linear Discriminant Analysis","0.2"
"10","moons","NN","0.2"
"10","moons","NN + L2","0.575"
"10","moons","NN + Scale Invariant","0.2"
"10","moons","NN + Offset Invariant","0.175"
"10","circles","Random Forest","0.075"
"10","circles","Linear Discriminant Analysis","0.525"
"10","circles","NN","0.175"
"10","circles","NN + L2","0.525"
"10","circles","NN + Scale Invariant","0.325"
"10","circles","NN + Offset Invariant","0.175"
"10","linear","Random Forest","0.075"
"10","linear","Linear Discriminant Analysis","0.075"
"10","linear","NN","0.075"
"10","linear","NN + L2","0.5"
"10","linear","NN + Scale Invariant","0.075"
"10","linear","NN + Offset Invariant","0.05"
"10","xor","Random Forest","0.225"
"10","xor","Linear Discriminant Analysis","0.325"
"10","xor","NN","0.125"
"10","xor","NN + L2","0.425"
"10","xor","NN + Scale Invariant","0.25"
"10","xor","NN + Offset Invariant","0.175"
"11","moons","Random Forest","0.2"
"11","moons","Linear Discriminant Analysis","0.2"
"11","moons","NN","0.2"
"11","moons","NN + L2","0.525"
"11","moons","NN + Scale Invariant","0.175"
"11","moons","NN + Offset Invariant","0.175"
"11","circles","Random Forest","0.15"
"11","circles","Linear Discriminant Analysis","0.575"
"11","circles","NN","0.4"
"11","circles","NN + L2","0.525"
"11","circles","NN + Scale Invariant","0.5"
"11","circles","NN + Offset Invariant","0.35"
"11","linear","Random Forest","0.2"
"11","linear","Linear Discriminant Analysis","0.225"
"11","linear","NN","0.2"
"11","linear","NN + L2","0.525"
"11","linear","NN + Scale Invariant","0.2"
"11","linear","NN + Offset Invariant","0.225"
"11","xor","Random Forest","0.125"
"11","xor","Linear Discriminant Analysis","0.575"
"11","xor","NN","0.1"
"11","xor","NN + L2","0.4"
"11","xor","NN + Scale Invariant","0.075"
"11","xor","NN + Offset Invariant","0.05"
"12","moons","Random Forest","0.15"
"12","moons","Linear Discriminant Analysis","0.125"
"12","moons","NN","0.125"
"12","moons","NN + L2","0.5"
"12","moons","NN + Scale Invariant","0.125"
"12","moons","NN + Offset Invariant","0.125"
"12","circles","Random Forest","0.15"
"12","circles","Linear Discriminant Analysis","0.65"
"12","circles","NN","0.275"
"12","circles","NN + L2","0.525"
"12","circles","NN + Scale Invariant","0.375"
"12","circles","NN + Offset Invariant","0.275"
"12","linear","Random Forest","0.075"
"12","linear","Linear Discriminant Analysis","0.075"
"12","linear","NN","0.075"
"12","linear","NN + L2","0.625"
"12","linear","NN + Scale Invariant","0.075"
"12","linear","NN + Offset Invariant","0.075"
"12","xor","Random Forest","0.275"
"12","xor","Linear Discriminant Analysis","0.5"
"12","xor","NN","0.275"
"12","xor","NN + L2","0.475"
"12","xor","NN + Scale Invariant","0.25"
"12","xor","NN + Offset Invariant","0.475"
"13","moons","Random Forest","0.2"
"13","moons","Linear Discriminant Analysis","0.275"
"13","moons","NN","0.225"
"13","moons","NN + L2","0.525"
"13","moons","NN + Scale Invariant","0.325"
"13","moons","NN + Offset Invariant","0.275"
"13","circles","Random Forest","0.15"
"13","circles","Linear Discriminant Analysis","0.525"
"13","circles","NN","0.3"
"13","circles","NN + L2","0.5"
"13","circles","NN + Scale Invariant","0.3"
"13","circles","NN + Offset Invariant","0.2"
"13","linear","Random Forest","0.15"
"13","linear","Linear Discriminant Analysis","0.15"
"13","linear","NN","0.225"
"13","linear","NN + L2","0.175"
"13","linear","NN + Scale Invariant","0.2"
"13","linear","NN + Offset Invariant","0.15"
"13","xor","Random Forest","0.3"
"13","xor","Linear Discriminant Analysis","0.425"
"13","xor","NN","0.2"
"13","xor","NN + L2","0.425"
"13","xor","NN + Scale Invariant","0.2"
"13","xor","NN + Offset Invariant","0.175"
"14","moons","Random Forest","0.15"
"14","moons","Linear Discriminant Analysis","0.175"
"14","moons","NN","0.15"
"14","moons","NN + L2","0.525"
