"trial","dataset","model","missclassification"
"10","circles","NN + Scale","0.575"
"10","circles","NN + Offset","0.55"
"10","linear","NN","0.025"
"10","linear","NN + L2","0.075"
"10","linear","NN + Scale","0.05"
"10","linear","NN + Offset","0.1"
"10","xor","NN","0.35"
"10","xor","NN + L2","0.375"
"10","xor","NN + Scale","0.35"
"10","xor","NN + Offset","0.475"
"11","moons","NN","0.2"
"11","moons","NN + L2","0.2"
"11","moons","NN + Scale","0.2"
"11","moons","NN + Offset","0.25"
"11","circles","NN","0.3"
"11","circles","NN + L2","0.25"
"11","circles","NN + Scale","0.475"
"11","circles","NN + Offset","0.325"
"11","linear","NN","0.1"
"11","linear","NN + L2","0.125"
"11","linear","NN + Scale","0.15"
"11","linear","NN + Offset","0.35"
"11","xor","NN","0.175"
"11","xor","NN + L2","0.4"
"11","xor","NN + Scale","0.35"
"11","xor","NN + Offset","0.225"
"12","moons","NN","0.25"
"12","moons","NN + L2","0.325"
"12","moons","NN + Scale","0.275"
"12","moons","NN + Offset","0.275"
"12","circles","NN","0.375"
"12","circles","NN + L2","0.475"
"12","circles","NN + Scale","0.525"
"12","circles","NN + Offset","0.45"
"12","linear","NN","0.0"
"12","linear","NN + L2","0.05"
"12","linear","NN + Scale","0.0"
"12","linear","NN + Offset","0.1"
"12","xor","NN","0.1"
"12","xor","NN + L2","0.2"
"12","xor","NN + Scale","0.15"
"12","xor","NN + Offset","0.125"
"13","moons","NN","0.15"
"13","moons","NN + L2","0.175"
"13","moons","NN + Scale","0.125"
"13","moons","NN + Offset","0.15"
"13","circles","NN","0.35"
"13","circles","NN + L2","0.25"
"13","circles","NN + Scale","0.525"
"13","circles","NN + Offset","0.225"
"13","linear","NN","0.2"
"13","linear","NN + L2","0.2"
"13","linear","NN + Scale","0.175"
"13","linear","NN + Offset","0.3"
"13","xor","NN","0.1"
"13","xor","NN + L2","0.15"
"13","xor","NN + Scale","0.15"
"13","xor","NN + Offset","0.1"
"14","moons","NN","0.125"
"14","moons","NN + L2","0.15"
"14","moons","NN + Scale","0.15"
"14","moons","NN + Offset","0.15"
"14","circles","NN","0.475"
"14","circles","NN + L2","0.3"
"14","circles","NN + Scale","0.575"
"14","circles","NN + Offset","0.6"
"14","linear","NN","0.125"
"14","linear","NN + L2","0.075"
"14","linear","NN + Scale","0.075"
"14","linear","NN + Offset","0.25"
"14","xor","NN","0.275"
"14","xor","NN + L2","0.2"
"14","xor","NN + Scale","0.225"
"14","xor","NN + Offset","0.25"
"15","moons","NN","0.075"
"15","moons","NN + L2","0.1"
"15","moons","NN + Scale","0.275"
"15","moons","NN + Offset","0.075"
"15","circles","NN","0.45"
"15","circles","NN + L2","0.3"
"15","circles","NN + Scale","0.5"
"15","circles","NN + Offset","0.6"
"15","linear","NN","0.175"
"15","linear","NN + L2","0.15"
"15","linear","NN + Scale","0.15"
"15","linear","NN + Offset","0.175"
"15","xor","NN","0.125"
"15","xor","NN + L2","0.25"
"15","xor","NN + Scale","0.2"
"15","xor","NN + Offset","0.275"
"16","moons","NN","0.275"
"16","moons","NN + L2","0.175"
"16","moons","NN + Scale","0.15"
"16","moons","NN + Offset","0.175"
"16","circles","NN","0.35"
"16","circles","NN + L2","0.45"
"16","circles","NN + Scale","0.45"
"16","circles","NN + Offset","0.25"
"16","linear","NN","0.1"
"16","linear","NN + L2","0.075"
"16","linear","NN + Scale","0.175"
"16","linear","NN + Offset","0.175"
"16","xor","NN","0.25"
"16","xor","NN + L2","0.3"
"16","xor","NN + Scale","0.175"
"16","xor","NN + Offset","0.3"
"17","moons","NN","0.2"
"17","moons","NN + L2","0.225"
"17","moons","NN + Scale","0.2"
"17","moons","NN + Offset","0.2"
"17","circles","NN","0.45"
"17","circles","NN + L2","0.2"
"17","circles","NN + Scale","0.375"
"17","circles","NN + Offset","0.225"
"17","linear","NN","0.175"
"17","linear","NN + L2","0.175"
"17","linear","NN + Scale","0.175"
"17","linear","NN + Offset","0.175"
"17","xor","NN","0.3"
"17","xor","NN + L2","0.275"
"17","xor","NN + Scale","0.325"
"17","xor","NN + Offset","0.3"
"18","moons","NN","0.15"
"18","moons","NN + L2","0.15"
"18","moons","NN + Scale","0.1"
"18","moons","NN + Offset","0.15"
"18","circles","NN","0.25"
"18","circles","NN + L2","0.375"
"18","circles","NN + Scale","0.425"
"18","circles","NN + Offset","0.425"
"18","linear","NN","0.175"
"18","linear","NN + L2","0.15"
"18","linear","NN + Scale","0.15"
"18","linear","NN + Offset","0.225"
"18","xor","NN","0.2"
"18","xor","NN + L2","0.325"
"18","xor","NN + Scale","0.225"
"18","xor","NN + Offset","0.3"
"19","moons","NN","0.1"
"19","moons","NN + L2","0.1"
"19","moons","NN + Scale","0.1"
"19","moons","NN + Offset","0.125"
"19","circles","NN","0.475"
"19","circles","NN + L2","0.475"
"19","circles","NN + Scale","0.55"
"19","circles","NN + Offset","0.425"
"19","linear","NN","0.075"
"19","linear","NN + L2","0.1"
"19","linear","NN + Scale","0.1"
"19","linear","NN + Offset","0.15"
"19","xor","NN","0.175"
"19","xor","NN + L2","0.2"
"19","xor","NN + Scale","0.15"
"19","xor","NN + Offset","0.175"
"20","moons","NN","0.15"
"20","moons","NN + L2","0.15"
"20","moons","NN + Scale","0.225"
"20","moons","NN + Offset","0.15"
"20","circles","NN","0.475"
"20","circles","NN + L2","0.6"
"20","circles","NN + Scale","0.6"
"20","circles","NN + Offset","0.525"
"20","linear","NN","0.1"
"20","linear","NN + L2","0.125"
"20","linear","NN + Scale","0.1"
"20","linear","NN + Offset","0.3"
"20","xor","NN","0.25"
"20","xor","NN + L2","0.3"
"20","xor","NN + Scale","0.325"
"20","xor","NN + Offset","0.3"
"21","moons","NN","0.125"
"21","moons","NN + L2","0.125"
"21","moons","NN + Scale","0.325"
"21","moons","NN + Offset","0.175"
"21","circles","NN","0.225"
"21","circles","NN + L2","0.375"
"21","circles","NN + Scale","0.575"
"21","circles","NN + Offset","0.45"
"21","linear","NN","0.125"
"21","linear","NN + L2","0.05"
"21","linear","NN + Scale","0.2"
"21","linear","NN + Offset","0.25"
"21","xor","NN","0.175"
"21","xor","NN + L2","0.15"
"21","xor","NN + Scale","0.175"
"21","xor","NN + Offset","0.1"
"22","moons","NN","0.2"
"22","moons","NN + L2","0.2"
"22","moons","NN + Scale","0.15"
"22","moons","NN + Offset","0.175"
"22","circles","NN","0.4"
"22","circles","NN + L2","0.4"
"22","circles","NN + Scale","0.475"
"22","circles","NN + Offset","0.425"
"22","linear","NN","0.15"
"22","linear","NN + L2","0.125"
"22","linear","NN + Scale","0.15"
"22","linear","NN + Offset","0.3"
"22","xor","NN","0.1"
"22","xor","NN + L2","0.2"
"22","xor","NN + Scale","0.15"
"22","xor","NN + Offset","0.15"
"23","moons","NN","0.25"
"23","moons","NN + L2","0.25"
"23","moons","NN + Scale","0.225"
"23","moons","NN + Offset","0.3"
"23","circles","NN","0.675"
"23","circles","NN + L2","0.675"
"23","circles","NN + Scale","0.675"
"23","circles","NN + Offset","0.6"
"23","linear","NN","0.225"
"23","linear","NN + L2","0.25"
"23","linear","NN + Scale","0.2"
"23","linear","NN + Offset","0.2"
