"trial","dataset","model","missclassification"
"10","circles","NN + Scale","0.525"
"10","circles","NN + Offset","0.6"
"10","linear","NN","0.25"
"10","linear","NN + L2","0.25"
"10","linear","NN + Scale","0.275"
"10","linear","NN + Offset","0.25"
"10","xor","NN","0.175"
"10","xor","NN + L2","0.175"
"10","xor","NN + Scale","0.175"
"10","xor","NN + Offset","0.25"
"11","moons","NN","0.3"
"11","moons","NN + L2","0.125"
"11","moons","NN + Scale","0.175"
"11","moons","NN + Offset","0.25"
"11","circles","NN","0.225"
"11","circles","NN + L2","0.25"
"11","circles","NN + Scale","0.375"
"11","circles","NN + Offset","0.35"
"11","linear","NN","0.1"
"11","linear","NN + L2","0.15"
"11","linear","NN + Scale","0.075"
"11","linear","NN + Offset","0.15"
"11","xor","NN","0.275"
"11","xor","NN + L2","0.35"
"11","xor","NN + Scale","0.3"
"11","xor","NN + Offset","0.2"
"12","moons","NN","0.125"
"12","moons","NN + L2","0.125"
"12","moons","NN + Scale","0.175"
"12","moons","NN + Offset","0.125"
"12","circles","NN","0.6"
"12","circles","NN + L2","0.525"
"12","circles","NN + Scale","0.6"
"12","circles","NN + Offset","0.4"
"12","linear","NN","0.125"
"12","linear","NN + L2","0.15"
"12","linear","NN + Scale","0.2"
"12","linear","NN + Offset","0.125"
"12","xor","NN","0.425"
"12","xor","NN + L2","0.3"
"12","xor","NN + Scale","0.225"
"12","xor","NN + Offset","0.15"
"13","moons","NN","0.125"
"13","moons","NN + L2","0.15"
"13","moons","NN + Scale","0.15"
"13","moons","NN + Offset","0.1"
"13","circles","NN","0.45"
"13","circles","NN + L2","0.4"
"13","circles","NN + Scale","0.6"
"13","circles","NN + Offset","0.3"
"13","linear","NN","0.2"
"13","linear","NN + L2","0.25"
"13","linear","NN + Scale","0.25"
"13","linear","NN + Offset","0.25"
"13","xor","NN","0.15"
"13","xor","NN + L2","0.275"
"13","xor","NN + Scale","0.15"
"13","xor","NN + Offset","0.15"
"14","moons","NN","0.175"
"14","moons","NN + L2","0.2"
"14","moons","NN + Scale","0.175"
"14","moons","NN + Offset","0.175"
"14","circles","NN","0.375"
"14","circles","NN + L2","0.325"
"14","circles","NN + Scale","0.425"
"14","circles","NN + Offset","0.375"
"14","linear","NN","0.0"
"14","linear","NN + L2","0.0"
"14","linear","NN + Scale","0.0"
"14","linear","NN + Offset","0.0"
"14","xor","NN","0.125"
"14","xor","NN + L2","0.1"
"14","xor","NN + Scale","0.125"
"14","xor","NN + Offset","0.125"
"15","moons","NN","0.225"
"15","moons","NN + L2","0.225"
"15","moons","NN + Scale","0.275"
